question_id,question_text,topic_ids,topic_names,subfields,degree
606e34d27dae603f99d804cc,Where can I find the current COVID-19 testing data at USC Student Health?,,,"Educational/School Psychology,Health Psychology",
606e34d27dae603e6cd804db,What is the current CA State Tier for COVID-19 risk?,,,"Health Psychology,Social Psychology",
607766dec525ba87bf68e79b,Where do you live?,beb47e9e-b025-4ddf-8e26-568e4e635e46,About Me,Social Psychology,
606b49f57340da2a6bce1d68,When does the Spring 2021 semester begin and end?,,,"Educational/School Psychology,Social Psychology",
606b4b4f7340da33a3ce1d79,What phase of the restart are we in currently?,,,"Educational/School Psychology,Social Psychology",
606bebe9ff6df91c69bb388b,What are the guidelines for returning to regular activities after recovering from COVID-19?,,,"Health Psychology,Social Psychology",
606bebeaff6df9d318bb3891,"If I tested positive for antibodies, am I immune to COVID-19?",,,"Health Psychology,Clinical Psychology",
606bec28ff6df913cdbb38ac,"I have respiratory symptoms (fever, cough, congestion, sore throat, other symptoms as described on this page). What should I do?",,,"Health Psychology,Clinical Psychology",
606bec93ff6df94ac3bb38c9,Someone I know was tested for COVID-19. What should I do?,,,,
606cebab4deb58685de5bb4e,"Please give a short introduction about yourself. Include your name, age, job title, where you work, and what you do.",,,"Social Psychology,Industrial and Organizational Psychology",
606e34d27dae60d87cd804ce,"Do students, faculty and staff need to self-quarantine before returning to campus following travel outside of Southern California?",,,"Health Psychology,Educational/School Psychology",
606e34d27dae606e7dd804cf,How long does the vaccine's protection last?,,,"Health Psychology,Clinical Psychology",
606e34d27dae606321d804d0,Will the vaccine work against new COVID-19 variants?,,,"Health Psychology,Clinical Psychology",
606e34d27dae607a7cd804d2,Why are some people getting sick after receiving the first dose of the vaccine?,,,"Health Psychology,Clinical Psychology",
606e34d27dae605c47d804d4,Can children receive the COVID-19 vaccine?,,,"Health Psychology,Developmental Psychology",
606e34d27dae60f3f3d804d6,I am receiving cancer treatment - can I get the COVID-19 vaccine?,,,"Health Psychology,Clinical Psychology",
606e34d27dae6087cad804d7,"If I have a history of Bell's palsy, should I get the coronavirus vaccine?",,,"Health Psychology,Clinical Psychology",
606e34d27dae603b4cd804d8,"If I am a solid organ or stem cell transplant recipient, should I get the vaccine?",,,"Health Psychology,Clinical Psychology",
607766dec525ba27de68e799,Who are you?,beb47e9e-b025-4ddf-8e26-568e4e635e46,About Me,Social Psychology,
607766dec525bac93868e79c,What is your job?,beb47e9e-b025-4ddf-8e26-568e4e635e46,About Me,"Social Psychology,Industrial and Organizational Psychology",
60a70199eaf7619813602523,what color is an apple?,,,Social Psychology,
60c7b5bb07dd705f143c5911,How can I do well in your major?,,,"Educational/School Psychology,Social Psychology",
60c7b5bb07dd70b0b13c5913,What range of GPA is considered good in your discipline?,,,"Educational/School Psychology,Social Psychology",
60c7b69407dd7007eb3c5968,Tell me about your family growing up.,9faedb55-1556-4112-ba11-e4266f47fa32,Background,"Developmental Psychology,Social Psychology",
60c7b69407dd708c9f3c596b,How long have you been in your job?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,"Industrial and Organizational Psychology,Social Psychology",
60c7b69407dd70afd33c597f,What is the most difficult part of your job?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70571b3c5983,What is the advancement potential in the field? What is a typical path?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70f0003c598a,How hard is it to get into your field?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd7027f03c598d,Have you had to move or relocate in order to pursue this career path?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd704e203c598c,How much work-related travel do you do in a year?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd704ad03c5990,How did you choose your major?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,"Educational/School Psychology,Developmental Psychology",
60c7b69407dd7003433c5995,How long does it take to finish your degree?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b69407dd70c07a3c5994,What are the different sub-specialties or subfields in your discipline?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b69407dd700b513c5998,How easy or hard is it to get a job with a degree in your major?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,"Educational/School Psychology,Industrial and Organizational Psychology",
60c7b69407dd703fa43c599b,What was the best class you have ever taken?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b69407dd701be53c596d,What are your hobbies?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,Social Psychology,
60c7b69407dd7092333c596f,Where has been your favorite place to live? Why?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,Social Psychology,
60c7b69407dd70604a3c5972,What is a typical day like on the job?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd703c123c5974,What kind of a physical environment do you work in?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,"Industrial and Organizational Psychology,Human Factors and Engineering Psychology",
60c7b69407dd70075c3c5977,How does your personality fit with your career?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,"Industrial and Organizational Psychology,Social Psychology",
60c7b69407dd70135d3c5980,"If you could change one thing about your job, what would it be?",e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70af8f3c597d,How happy are you with your job?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70364c3c5981,What gets romanticized about your profession that isn't that great in reality?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70c41d3c5986,What is the salary like for your job?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd7065293c5989,What skills are the most important to develop in this field?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd7048113c5992,How did you choose your school?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,"Educational/School Psychology,Developmental Psychology",
60c7b69407dd705b953c5997,What kind of jobs can I pursue with your major?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,"Educational/School Psychology,Industrial and Organizational Psychology",
60c7b69407dd702a613c599d,What is a class you wish you had taken (but did not)?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b69407dd7003ed3c599e,How can I do well in your major?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b69407dd707a213c59a0,What range of GPA is considered good in your discipline?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b5bb07dd702fad3c590f,What was the worst class you have ever taken?,,,Educational/School Psychology,
60c7b5bb07dd70664b3c5910,What is a class you wish you had taken (but did not)?,,,Educational/School Psychology,
60c7b69407dd704ee13c596a,What is your job?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,Social Psychology,
60c7b69407dd70edd93c5970,What culture(s) do you most identify with?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,Social Psychology,
60c7b69407dd70a04d3c5971,What are your job responsibilities?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd700fd03c5976,Tell me a story that shows what it is really like in your job.,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70e2a73c597e,What do you dislike about your job?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70d4af3c597c,How satisfied are you with your job or career?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd701a043c5985,How much value does your employer place on education and training?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,"Industrial and Organizational Psychology,Educational/School Psychology",
60c7b69407dd70b91a3c5988,How can I make good money in this field?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd7025283c598b,What advice do you have for someone entering this field?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,"Industrial and Organizational Psychology,Counseling Psychology",
60c7b69407dd706d053c598e,"If I were to pursue this field, to what extent would I be able to switch jobs or careers?",e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70a25a3c599a,What was the hardest class you have ever taken?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b69407dd7018133c599c,What was the worst class you have ever taken?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b5bb07dd70d12b3c5912,What are some common challenges that students face in this discipline?,,,Educational/School Psychology,
60c7b69407dd70694b3c5969,"When you were a kid, what did you want to be when you grew up?",9faedb55-1556-4112-ba11-e4266f47fa32,Background,"Developmental Psychology,Social Psychology",
60c7b69407dd70415d3c5965,How old are you now?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,Social Psychology,
60c7b69407dd70e9753c5966,Where did you grow up?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,Social Psychology,
60c7b69407dd705b803c5967,Tell me about your childhood.,9faedb55-1556-4112-ba11-e4266f47fa32,Background,"Developmental Psychology,Social Psychology",
60c7b69407dd7081773c5964,What year were you born?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,Social Psychology,
60c7b69407dd702a7c3c5963,What is your name?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,Social Psychology,
60c7b69407dd70fe413c596e,What is your educational background?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,Educational/School Psychology,
60c7b69407dd70481f3c596c,When will you retire?,9faedb55-1556-4112-ba11-e4266f47fa32,Background,"Developmental Psychology,Social Psychology",
60c7b69407dd7033613c5973,How many hours do you work in a typical week?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd7017343c5975,What kinds of people would I work with in this field?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,"Industrial and Organizational Psychology,Social Psychology",
60c7b69407dd70963e3c5978,What do you like the most about your job?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd7058073c5979,What do you find the most interesting about your job?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd706a183c597a,What is the most rewarding part of your job?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd7085043c597b,Why did you choose this career?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,"Industrial and Organizational Psychology,Social Psychology",
60c7b69407dd7065803c5982,What are some common misconceptions about your line of work?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70fe113c5984,How often are you presented with challenging new skills to learn?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70a7bf3c5987,Can you make a living with your pay?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,Industrial and Organizational Psychology,
60c7b69407dd70c2103c598f,How has your work been affected by the COVID-19 pandemic?,e42130bf-a81d-4e35-83f0-62e26ae496a7,About the Job,"Industrial and Organizational Psychology,Health Psychology",
60c7b69407dd7001013c5991,What other majors did you consider?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,"Educational/School Psychology,Developmental Psychology",
60c7b69407dd708e8b3c5993,Was your major easy or hard?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b69407dd70aa023c5996,Do you need to be good at math or science in your field?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,"Educational/School Psychology,Quantitative Psychology",
60c7b69407dd7064963c5999,"What are the differences in salary based on whether you have a Bachelors, Masters, or Doctorate in your field?",10758bcf-8708-4fb4-815a-a13328b5da6d,Education,"Educational/School Psychology,Industrial and Organizational Psychology",
60c7b69407dd7016793c599f,What are some common challenges that students face in this discipline?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b69407dd703e673c59a1,What is a thesis?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b69407dd703acc3c59a2,What is a minor?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c7b69407dd708c1b3c59a3,Can you give me some tips for doing well in my classes?,10758bcf-8708-4fb4-815a-a13328b5da6d,Education,Educational/School Psychology,
60c8c3b607dd7087613c5e54,What kind of experience did you have prior to applying for graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Industrial and Organizational Psychology",
60c8c3b607dd7016583c5e58,What should I look for in a graduate program?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd703e143c5e5c,How competitive is it to get into graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd705dcc3c5e5f,What should I do if I do not get into a graduate program that I want?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Counseling Psychology",
60c8c3b607dd7005aa3c5e60,"If I don't get into a graduate program I want, should I reapply to that program another time?",c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Counseling Psychology",
60c8c3b607dd703b4e3c5e61,How much does it cost to attend graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd703e743c5e68,"What is a good score on the standardized exam I need to take for grad school admissions (e.g., GRE)?",c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Quantitative Psychology",
60c8c3b607dd70a6553c5e6b,Should I take on loans or work during graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Industrial and Organizational Psychology",
60c8c3b607dd70fb0f3c5e6c,How do you pay for graduate education?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd70e0f73c5e78,Did you work while you were in school?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Educational/School Psychology,Industrial and Organizational Psychology",
60c8c3b607dd7054e33c5e7e,What is one question you wish you had asked earlier in your career?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Counseling Psychology",
60c8c3b607dd7043373c5e51,What is graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd7036323c5e53,"If you went to graduate school, can you tell me about your experience?",c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd7071293c5e57,What graduate school degree should I get?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd70d9093c5e59,How long is graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd70133e3c5e5a,What kind of preparation do I need to go to graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd7034ba3c5e5b,How should I choose graduate schools to apply for?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd70efb73c5e5d,How can I improve my chances of getting into graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Counseling Psychology",
60c8c3b607dd7018873c5e63,What GPA do you need to get into graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd70330e3c5e69,How should I choose writers for my letters of recommendation?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Social Psychology",
60c8c3b607dd70dbbf3c5e6f,How did you know you wanted to pursue this type of work?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Developmental Psychology,Social Psychology",
60c8c3b607dd7050aa3c5e70,How did you get started in your career?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Developmental Psychology",
60c8c3b607dd7064443c5e76,What were you like as a student?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Educational/School Psychology,Developmental Psychology",
60c8c3b607dd7033223c5e80,What mistakes have you made?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Developmental Psychology,Social Psychology",
60c8c3b607dd7073ef3c5e85,How have your priorities changed over the course of your career?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Developmental Psychology,Industrial and Organizational Psychology",
60c8c3b607dd7058623c5e86,How has your view of this line of work changed over time?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Developmental Psychology,Industrial and Organizational Psychology",
60c8c3b607dd70d54f3c5e87,"What are some honors, awards, or recognition that you've gotten?",ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Social Psychology",
60c8c3b607dd7021fe3c5e8b,Where do you see yourself in 5 years? 10?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Developmental Psychology,Industrial and Organizational Psychology",
60c8c3b607dd701e4d3c5e55,What are the different degrees you can get in graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd70dc263c5e56,Should I go to graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Counseling Psychology",
60c8c3b607dd706beb3c5e62,How much in loans do students take out in order to attend graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd70a8973c5e64,Could I still get into grad school if my GPA is low?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Counseling Psychology",
60c8c3b607dd7069863c5e65,Should I take a gap year before going to graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Developmental Psychology",
60c8c3b607dd709f5b3c5e67,"What standardized exam do I need to take for grad school admissions, and how can I do well on it?",c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Quantitative Psychology",
60c8c3b607dd70539c3c5e72,What do you do now that is different from what you thought you would be doing?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Developmental Psychology,Social Psychology",
60c8c3b607dd70455e3c5e6e,What inspired you to pursue this career?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Developmental Psychology,Social Psychology",
60c8c3b607dd7006233c5e75,What were some of your fears entering college and your career?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Developmental Psychology,Educational/School Psychology",
60c8c3b607dd7082473c5e7b,What did you do during your training that contributed the most to your success?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Educational/School Psychology,Industrial and Organizational Psychology",
60c8c3b607dd709c5d3c5e7d,What skills do you wish you had mastered before entering your profession?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Educational/School Psychology,Industrial and Organizational Psychology",
60c8c3b607dd709c143c5e77,What was your college experience like?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Educational/School Psychology,Developmental Psychology",
60c8c3b607dd7085fa3c5e79,Did you participate in any extracurriculars at college or university?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Educational/School Psychology,Social Psychology",
60c8c3b607dd7015fd3c5e7a,What was the most difficult part of your training?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Educational/School Psychology,Industrial and Organizational Psychology",
60c8c3b607dd7072313c5e81,"What would you do differently, if you had a chance to do things over again?",ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Developmental Psychology,Social Psychology",
60c8c3b607dd700e1d3c5e82,What is your biggest accomplishment?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Social Psychology",
60c8c3b607dd707d633c5e84,What was your best experience in this field?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Social Psychology",
60c8c3b607dd70240b3c5e88,What organizations have been the most helpful to you in your career?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Social Psychology",
60c8c3b607dd704c473c5e89,How have you continued to improve your skills during your career?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Educational/School Psychology",
60c8c3b607dd70cba93c5e52,How is graduate school different from college?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd70202f3c5e5e,How would I know that I picked the right graduate program?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Counseling Psychology",
60c8c3b607dd707f353c5e66,What kinds of things do you do in grad school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd7002273c5e6d,How do you find funding or scholarships for graduate school?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,Educational/School Psychology,
60c8c3b607dd7040f73c5e6a,Does graduate school prestige matter for future job prospects?,c8b07416-376c-4ea2-9560-2fad8e66e2fc,Graduate School,"Educational/School Psychology,Industrial and Organizational Psychology",
60c8c3b607dd7050083c5e71,What surprised you the most when you entered the field?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Social Psychology",
60c8c3b607dd7067fe3c5e74,Did you ever think about changing your career?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Developmental Psychology",
60c8c3b607dd7075583c5e7c,What do you wish you had known while you were in school?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Educational/School Psychology,Developmental Psychology",
60c8c3b607dd70377f3c5e73,How did you get to where you are now?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Developmental Psychology",
60c8c3b607dd700c4b3c5e7f,What was your job search like after graduation?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Educational/School Psychology",
60c8c3b607dd70f7cb3c5e83,What was your worst experience in this field?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Social Psychology",
60c8c3b607dd70fd043c5e8a,How much of a leadership role do you play?,ee5e8285-76a8-4ff8-9b7d-d0267376c6d9,Development,"Industrial and Organizational Psychology,Social Psychology",
60d8d0ac9fcf35a4b05454d8,How can I be successful in this field?,,,"Industrial and Organizational Psychology,Counseling Psychology",
60d8d0ac9fcf35d2565454da,Are there resources on campus that you'd recommend that I use?,,,Educational/School Psychology,
60d8d0ac9fcf35fea85454e4,How do I make the most of my college experience?,,,"Educational/School Psychology,Developmental Psychology",
60d8d0ac9fcf35d4745454e8,How can I improve my social or communication skills?,,,"Social Psychology,Human Factors and Engineering Psychology",
60d8d0ac9fcf3540035454f3,How can I prevent burnout?,,,"Health Psychology,Industrial and Organizational Psychology",
60d8d0ac9fcf3583635454f5,What should you do when you don't get along with your mentor?,,,"Counseling Psychology,Social Psychology",
60d8d0ac9fcf3506de5454f9,When do I need to start worrying about retirement?,,,"Developmental Psychology,Industrial and Organizational Psychology",
60d8d0ac9fcf357fb35454fa,When should I own or rent?,,,Social Psychology,
60d8d4069fcf35566c545600,What's up?,46cb53d5-0c53-454c-b6d7-d82851c4e2e7,For Fun,Social Psychology,
60d8d4069fcf357e80545601,How is the weather?,46cb53d5-0c53-454c-b6d7-d82851c4e2e7,For Fun,Social Psychology,
60d8d4069fcf35806a545606,What's your favorite movie of all time? Why?,46cb53d5-0c53-454c-b6d7-d82851c4e2e7,For Fun,Social Psychology,
60d8d4069fcf3521b2545611,Do you have any pets?,46cb53d5-0c53-454c-b6d7-d82851c4e2e7,For Fun,Social Psychology,
60d8d4069fcf3585a2545614,"What challenges have you faced in your career, and how did you overcome them?",97103b5d-4dd4-4a24-a557-37dc61e58a86,Challenges,"Industrial and Organizational Psychology,Counseling Psychology",
60d8d4069fcf355d1a545617,What is the biggest failure you ever had and what did you learn from it?,97103b5d-4dd4-4a24-a557-37dc61e58a86,Challenges,"Developmental Psychology,Social Psychology",
60d8d4069fcf350d6154561b,What is most stressful about your job?,97103b5d-4dd4-4a24-a557-37dc61e58a86,Challenges,"Health Psychology,Industrial and Organizational Psychology",
